_ - ,_ - voce/entry,_ - titolo/title,_ - sottitolo/subtitle,_ - autore/author,ids_authors,_ - genere/genre,_ - metro/mode,_ - luogo di pubblicazione/city,ids_city,_ - luogo di rappresentazione/location,ids_location,_ - editore/publisher,ids_publisher,_ - anno/year,_ - formato/format,_ - libretto,_ - compositore/composer,ids_composer,_ - traduzione/translation
4653,"STIAVA. Commedia (in prosa) — in Venezia, per Gabriel Giolito de' Ferrari, e Fratelli, 1556 in 12. — ed ivi, per Bernardo Giunti, 158. in 8 (in versi). — Poesia, e Prosa di Giammaria Cecchi, Fiorentino.",Stiava,,Giammaria Cecchi,,Commedia,prose,Venice,Q641,,,Gabriele Giolito de' Ferrari,Q1490296,1556,12,False,,,False
,,,,,,,,,,,,unknown,,,,,,,
4654,"STIMA E DICHI STIMA. Dramma recitato in Bologna l'anno 1624, nella Casa del Sig. Senator Volta. — Poesia di Santo Ognibene, Bolognese.",Stima E Dichi Stima,,Santo Ognibene,,Dramma,,,,,,unknown,,1624,,False,,,False
4655,"STORDITO, ovvero, il Contrattempo. Commedia tradotta dal Francese di Mons. Moliere. — in Venezia, per Domenico Lovisa, 1728 in 12. — da Niccolò di Castelli.",Stordito,Il Contrattempo,Nicolò di Castelli,Q87180545,Commedia tradotta,,Venice,Q641,,,Domenico Lovisa,Q19569565,1728,12,False,,,True
4656,"STRACCALE. Egloga Rusticale di Parentado di Villa (di vario metro). — in Siena, per Francesco di Simone. 1548 in 8 — ed ivi. senza Stampatore. 1581 in 8 — di Pier'Antonio dello Stricca Legacci, della Congrega de' Rozzi di Siena.",Straccale,,Pierantonio Legacci,Q110164286,Egloga Rusticale,,Siena,Q2751,,,unknown,,1548,8,False,,,False
4657,"STRACCIONI. Commedia (in prosa). in Venezia, senza Stampatore, 1582 in 12. — ivi, per Aldo. 1589 in 12. — dedicata a Jacopo Manucci, Gentiluomo Fiorentino. — ed ivi, per Gio. Batista Combi, 1628 in 12. — e senza nome di Stampatore, nè anno, nè luogo, che però à Nupoli, e l'anno è il 1731 in 12, con altre quattro tutte antiche, cioè, la Catrina, col Mogliazzo di Francesco Berni, la Suocera di Benedetto Varchi, la Calandra di Bernardo Divizio da Bibiena, e la Idropica di Batista Guarini. — di Annibal Caro.",Straccioni,,Annibale Caro,Q566851,Commedia,prose,Venice,Q641,,,unknown,,1582,12,False,,,False
4658,"STRAGE IN ONOR DELLE DONNE. Commedia Pastorale (in ottava rima). in Siena. senza Stampatore. 1547 in 8 — di Angiolo di Cenni, nella Congrega de' Rozzi detto il Risoluto.",Strage In Onor Delle Donne,,Angelo Cenni,,Commedia Pastorale,verse,Siena,Q2751,,,unknown,,1547,8,False,,,False
4659,"STRALI D'AMORE. Favola Pescatoria. — in Venezia, per Sebastiano Combi. 1612 in 12. — di Giambatista Ruffini.",Strali D'Amore,,Giambattista Ruffini,,Favola Pescatoria,,Venice,Q641,,,Sebastiano Combi,Q108717253,1612,12,False,,,False
4660,"STRANI AVVENIMENTI. Commedia (in prosa). — in Catania, per Bonavventura la Rocca. 1666 in 12. — di Giuseppe Squillacci, di Catania.",Strani Avvenimenti,,Giuseppe Squillacci,,Commedia,prose,Catania,Q1903,,,Bonavventura la Rocca,,1666,12,False,,,False
4661,"STRAPAZZI. Commedia. — in Roma, per Guglielmo Faccioti, 1627 in 12. — di Giovanni Briccio, Romano, Pittore.",Strapazzi,,Giovanni Briccio,Q3766896,Commedia,,Rome,Q220,,,Guglielmo Facciotto,Q55227318,1627,12,False,,,False
4662,"STRASCINO. Commedia Rusticale (in terza rima) in cui si contiene un pianto, che fanno quattro Contadini con un Cittadino. — in Venezia, per Marchiò Sessa. 1531 in 8 — in Siena, presso a S. Viglio adi 7 di Febbrajo 1546 ad instanzia di Giovanni di Alessandro Librajo. in 8 — ed in Firenze, nel Garbo, 1572 in 8 — di Niccolò Campani, Sanese, della Congrega de' Rozzi di Siena.",Strascino,,Niccolò Campani,Q3875842,Commedia Rusticale,,Venice,Q641,,,Melchiorre Sessa,Q88857353,1531,8,False,,,False
4663,"STRATAGEMMI AMOROSI. Commedia (in prosa). — in Città di Castello, per Santi Mulinelli. 1628 in 8 — di Francesco Pier Guidi, Fiorentino.",Stratagemmi Amorosi,,Francesco Pier Guidi,,Commedia,prose,Città di Castello,Q20413,,,Santi Mulinelli,,1628,8,False,,,False
4664,"STRATAGEMMI AMOROSI. Dramma recitato nel Teatro di San Mosè di Venezia l'anno 1730 — in Venezia, per Marino Rossetti, 1730 in 12. — Poesia di Francesco Passerini, Veronese. — Musica di Tommaso Albinoni, Veneziano.",Stratagemmi Amorosi,,Francesco Passarini,Q97487808,Dramma,,Venice,Q641,Teatro San Moisè,Q2575251,Marino Rossetti,Q122599209,1730,12,True,Tomaso Albinoni,Q174606,False
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
4665,"STRATAGEMMI DI BIANTE. Dramma per Musica rappresentato nel felicissimo dì Natalizio della Imperadrice Eleonora, per comando dell'Imperadore Leopoldo l'anno 1682 — in Vienna d'Austria, per Gio. Cristoforo Cosmerovio. 1682 in 8 — Poesia del Co. Niccolò Minato, Bergamasco. — Musica di Antonio Draghi, Ferrarese.",Stratagemmi Di Biante,,Nicolò Minato,Q1987241,Dramma,,Vienna,Q1741,,,Johann Christoph Cosmerovius,Q104283372,1682,8,True,Antonio Draghi,Q601855,False
,,,,,,,,,,,,unknown,,,,,,,
4666,"STRATONICA. Dramma per Musica. in Firenze. senza Stampatore.in 8 — del Dott. Antonio Salvi, di Lucignano.",Stratonica,,Antonio Salvi,Q604920,Dramma,,Florence,Q2044,,,unknown,,0,8,True,,,False
4667,STRATONICA. Tragedia. — in Trento. senza Stampatore. 1652 in 8 — di Carlo Saracino.,Stratonica,,Carlo Saraceni,Q938607,Tragedia,,Trento,Q33721822,,,unknown,,1652,8,False,,,False
4668,"STRATONICA. Tragicommedia (in prosa, e con gl'Intermezzi in verso) — in Viterbo, per Girolamo Discepolo. 1609 in 11. — ed in Venezia, per Marc'Antonio Zaltieri. 1626 in 12. — di Angelita Scaramuccia.",Stratonica,,Angelita Scaramuccia,Q87188217,Tragicommedia,prose,Viterbo,Q13395,,,Girolamo Discepolo,Q27485130,1609,11,False,,,False
4669,"STRAVAGANTI SUCCESSI. Commedia (in prosa). — in Viterbo, per il Discepolo. 1623 in 12. — ed in Orvieto, per Palmerio Giannotti. 1666 in 12. — di Francesco Miedel, ovvero, Miedelchini.",Stravaganti Successi,,Francesco Maidalchini,Q112434208,Commedia,prose,Viterbo,Q13395,,,Pietro Discepolo,Q86599631,1623,12,False,,,False
4670,"STRAVAGANZA D'AMORE ED AMICIZIA. Tragicommedia (in prosa). in Napoli, per Ottavio Beltramo. 1643 in 12. — di Onofrio Giliberto, di Solofra.",Stravaganza D'Amore Ed Amicizia,,Onofrio Giliberto,Q18945697,Tragicommedia,prose,Naples,Q2634,,,Ottavio Beltrano,Q3887200,1643,12,False,,,False
4671,"STRAVAGANZE D'AMORE. Commedia (in prosa). — in Venezia, per i Sessa. 1584 1587 e 1605 in 12. — ed ivi, per Pietro Bertano, 1613 in 12. — di Cristoforo Castelletti.",Stravaganze D'Amore,,Cristoforo Castelletti,Q47193241,Commedia,prose,Venice,Q641,,,Giovanni Battista Sessa,Q109647871,1605,12,False,,,False
4672,"STRAVAGANZE D'AMORE. Commedia (in prosa). — in Napoli, per Ettore Cicconio. 1653 in 12. — di Francesco Zavoni.",Stravaganze D'Amore,,Francesco Zavoni,,Commedia,prose,Naples,Q2634,,,Ettore Ciacconio,,1653,12,False,,,False
4673,"STREGA. Commedia (in prosa, e in cinque Atti) — in Venezia, per Bernardo, e Fratelli Giunti. 1582 in 8 — ed ivi, per Giambatista Combi. 1628 in 12. — di Anton Francesco Grazzini, detto il Lasca, Fiorentino, da Staggia.",Strega,,Antonio Francesco Grazzini,Q602056,Commedia,prose,Venice,Q641,,,Bernardo Giunti,Q21548264,1582,8,False,,,False
4674,"STROPPIATI. Commedia (in prosa) dedicata al famosissimo, ed antichissimo Mess. Pasquino di Roma. — in Venezia, per Alessandro de Vecchi. 1610 e 1612 in 12. — ed ivi, per Angiolo Salvadori. 1637 in 12. — del Dottor Virgilio Verrucci, Accademico Intrigato di Roma.",Stroppiati,,Virgilio Verucci,Q30333055,Commedia,prose,Venice,Q641,,,Alessandro de' Vecchi,Q113303831,1612,12,False,,,False
4675,"STUDIO D'AMORE. Introduzione ad un Balletto nel felicissimo dì Natalizio della S. C. R. M. dell'Imperadrice Eleonora Maddalena Teresa, per comando della S. C. R. M. dell'Imperadore Leopoldo l'an. 1686. in Vienna, per Susanna Cristina, Vedova di Matteo Cosmerovio. 1686 in 4 — Poesia di Niccolò Minato, Bergamasco. — Musica di Antonio Draghi, Ferrarese.",Studio D'Amore,,Nicolò Minato,Q1987241,Introduzione ad,,Vienna,Q1741,,,Susanna Christina Cosmerovius,Q106080028,1686,4,True,Antonio Draghi,Q601855,False
,,,,,,,,,,,,unknown,,,,,,,
4676,"STUFFAJUOLO. Commedia (in versi) in Venezia, per Bernardo Giunti 1585 in 8 — di Giammaria Cecchi, Fiorentino.",Stuffajuolo,,Giovanni Maria Cecchi,Q426305,Commedia,verse,Venice,Q641,,,Bernardo Giunti,Q21548264,1585,8,False,,,False
4677,"STUPORI PER LA NASCITA DEL SIGNORE. Oratorio. — in Napoli per il Muzio. 1700 in 4 ed in 8 — di Andrea Perucci, di Palermo.",Stupori Per La Nascita Del Signore,,Andrea Perucci,,Oratorio,,Naples,Q2634,,,Michele Luigi Muzio,Q88163062,1700,4,False,,,False
4678,"SUCCESSI D'AMORE. Commedia (in prosa). — in Firenze, nella Stamperia del Landini, 1633 in 12. — di Flamminio Ruschi, Pisano.",Successi D'Amore,,Flamminio Ruschi,,Commedia,prose,Florence,Q2044,,,Landini,,1633,12,False,,,False
4679,"SUCCESSI DI ERMINIA. Intermedi cinque (in versi sciolti) cavati dalla Gerusalemme del Tasso. — in Venezia, per Antonio Pinelli. 1615 in 12. — di Tobia de' Ferrari, Genovese.",Successi Di Erminia,,Tobia de' Ferrari,,Intermedi cinque,verse,Venice,Q641,,,Antonio Pinelli,Q109471792,1615,12,False,,,False
4680,"SVENTURA FELICE. Pastorale Eroica recitata in Verona nel Teatro Filarmonico la Fiera di Maggio dell'anno 1736 dedicata alle Nobili Dame della stessa Città. — in Verona, per Dionigi Ramanzini. 1736 in 8 — di Domenico Maria Creta. — E lo stesso, che col titolo di Filindo fu recitato in Bologna l'anno 1728.",Sventura Felice,,Domenico Maria Creta,,Pastorale Eroica,,Verona,Q2028,Teatro Filarmonico,Q3527898,Dionigi Ramanzini,,1736,8,False,,,False
4681,"SVENTURE AVVENTURATE. Dramma per Musica, rappresentato nel Teatro dell'Illustrissima Accademia di Brescia l'anno 1677 — in Verona, nella Stamperia nuova, per Antonio Rossi. 1677. in 12. — di Carlo Maria Micheli, Veronese.",Sventure Avventurate,,Carlo Maria Micheli,,Dramma,,Verona,Q2028,Teatro dell'Accademia di Brescia,,Antonio Rossi,Q118733461,1677,12,True,,,False
4682,"SVENTURATE GRANDEZZE DI ORONTE. Opera Tragicomica (in prosa). — in Roma, per Michel dell'Abate Ercole. 1677 in 12. — Marco Amerighi.",Sventurate Grandezze Di Oronte,,Marco Amerighi,,Opera Tragicomica,prose,Rome,Q220,,,Michel dell'Abate Ercole,,1677,12,False,,,False
4683,"SVENTURE DI ERMINIA. Tragedia. — in Napoli, per Secondino Roncagliolo. 1629 in 12. — di Marc'Antonio Perillo, Ingelosito Accademico Incauto.",Sventure Di Erminia,,Marc'Antonio Perillo,,Tragedia,,Naples,Q2634,,,Secondino Roncagliolo,Q93432255,1629,12,False,,,False
4684,"SVIATO CONVERTITO. Tragedia Spirituale. — in Firenze, per Zanobi Pignoni, e Compagni. 1614 in 8 — di Fra Nicodemo di Fiorenza, Minor Osserv.",Sviato Convertito,,Nicodemo di Fiorenza,,Tragedia Spirituale,,Florence,Q2044,,,Zanobi di Francesco Pignoni,Q109771510,1614,8,False,,,False
4685,"SULAMITIDE. Boschereccia Sacra. in Roma. senza Stampatore 1731 in 8 — ed in Bologna, senza Stampatore. 1733 in 8 — di Neralco P.A. cioè, Monsign. Giuseppe Ercolani, di Sinigaglia.",Sulamitide,,Giuseppe Maria Ercolani,Q3770909,Boschereccia Sacra,,Rome,Q220,,,unknown,,1731,8,False,,,False
4686,"SULPIZIA. Dramma per Musica rappresentato nel Giorno Natalizio della Imperadrice Eleonora, per comando della Sereniss. Arciduchessa Marianna l'anno 1672 — in Vienna d'Austria, per Matteo Cosmerovio. 1672 in 8 — Poesia del Co. Niccolò Minato, Bergamasco. — Musica di Antonio Draghi, Ferrarese. — Replicato l'anno 1697 nel Giorno Natalizio dell'Imperadore Leopoldo, per comando della stessa Imperadrice Eleonora. — in Vienna d'Austria, per Susanna Cristina Vedova di Matteo Cosmerovio. 1697 in 8 — Poesia, e Musica de' suddetti.",Sulpizia,,Nicolò Minato,Q1987241,Dramma,,Vienna,Q1741,,,Matthäus Cosmerovius,Q55125046,1672,8,True,Antonio Draghi,Q601855,False
,,,,,,,,,,,,unknown,,,,,,,
4687,"SULPIZIA FEDELE. Dramma recitato nel Teatro di San Samuele di Venezia nella Fiera dell'Ascensione dell'anno 1729 — in Venezia, per Carlo Buonarrigo. 1729 in 12. — Poesia di Domenico Lalli, Napoletano, e Giovanni Boldini, Veneziano. — Musica di Antonio Pollaroli, Veneziano.",Sulpizia Fedele,,Domenico Lalli,Q1237180,Dramma,,Venice,Q641,Teatro San Samuele,Q1057412,Carlo Buonarrigo,,1729,12,True,Antonio Pollarolo,Q604310,False
4688,"SULTANA. Commedia (in prosa). in Parigi, per Niccolò della Vigna. 1612 in 8 — di Giambatista Andreini, Fiorentino.",Sultana,,Giambattista Andreini,Q1134183,Commedia,prose,Paris,Q90,,,Niccolò della Vigna,,1612,8,False,,,False
4689,"SUOCERA. Commedia (in prosa) in Firenze, per i Giunti. 1549 in 12. — in Venezia, per il Giolito. 1561 in 12. — ed in Firenze, per Bartolommeo Sermartelli. 1569 in 8 con altre cinque. — di Benedetto Varchi, Fiorentino, da Monte Varchi.",Suocera,,Benedetto Varchi,Q176833,Commedia,prose,Florence,Q2044,,,Gabriele Giolito de' Ferrari,Q1490296,1549,12,False,,,False
4690,"SUPERBIA DELL'UOMO ABBATTUTA DAL TEMPO. Rappresentazione ideale (in prosa) per divertimento Carnevalesco, in cui con ombre trasparenti si rappresentano in un Casotto in Piazza di San Marco le vicende del Mondo, pubblicata a fine che meglio si comprenda la intenzione dell'Autore. — in Venezia, senza Stampatore. 1729 in 12. — d'Incerto Autore.",Superbia Dell'Uomo Abbattuta Dal Tempo,,unknown,Q24238356,Rappresentazione ideale,prose,Venice,Q641,,,unknown,,1729,12,False,,,False
4691,"SUPERBIA GASTIGATA in Aman gran Favorito di Assuero Monarca della Siria. — Oratorio (a cinque voci). — in Milano, per Marc'Antonio Pandolfo Malatesta. 1717 in 12. — di Carlo Giuseppe Cornacchia, di Casale.",Superbia Gastigata In Aman Gran Favorito Di Assuero Monarca Della Siria,,Carlo Giuseppe Cornacchia,,— Oratorio,,Milan,Q490,,,Marco Antonio Pandolfo Malatesta,Q105946318,1717,12,False,,,False
4692,"SUPPOSITI. Commedia (in prosa, e in verso, in cinque Atti). — in Roma. senza Stampatore. 1524 adi 27 di Settembre. in 12. — in Venezia, per Niccolò d'Aristotile, detto Zoppino. 1525 in 12, in prosa, ove è detta Soppositi. — ivi, per il Bindoni, e Pasini. 1526 e 1542 in 8 in prosa, col nome di Soppositi. — ivi, per Marchiò Sessa, 1536 in 8 — ivi, per Gabriele Giolito de' Ferrari. 1551 e 1562 in 12, con altre quattro. — ivi, per gli Eredi di Bartolommeo Rubini. 1587 in 12. — in prosa. — ivi, per Daniele Bissuccio. 1602 in 8 — ed ivi, per Stefano Orlandini. 1730 in fogl. — di Lodovico Ariosto, Ferrarese.",Suppositi,,Ludovico Ariosto,Q48900,Commedia,prose,Rome,Q220,,,unknown,,1525,12,False,,,False
4693,"SUSANNA. Dialogo per Musica. — in Napoli, per Carlo Porsile. 1686 in 8 — di Andrea Perucci, di Palermo.",Susanna,,Andrea Perucci,,Dialogo,,Naples,Q2634,,,Carlo Porsile,,1686,8,True,,,False
4694,"SUSANNA. Santa. Rappresentazione di Santa Susanna. — in Siena, senza Stampatore, ed anno. in 4 — d'Incerto Autore.",Susanna,,unknown,Q24238356,Santa,,Siena,Q2751,,,unknown,,0,4,False,,,False
4695,"SUSANNA. Tragedia. — in Roma, per Lodovico Grignani. 1632 in 8 — di Decio Memmoli.",Susanna,,Decio Memmoli,Q24251172,Tragedia,,Rome,Q220,,,Lodovico Grignani,Q55228486,1632,8,False,,,False
4696,"SUSANNA. Tragedia. — in Palermo, per Giambatista Maringo. 1633 in 12. — del P. Ortensio Scamacca, Siciliano di Lentini, della Comp. di Gesù.",Susanna,,Ortensio Scamacca,,Tragedia,,Palermo,Q2656,,,Giovanni Battista Maringo,Q107379881,1633,12,False,,,False
4697,"SUSANNA. Tragedia Sacra, con quattro Intermedi dell'Istoria di Susanna. in Venezia, per Bernardo Giunti, e Giambatista Ciotti. 1610 in 12. — di Cataldo Antonio Mannarino.",Susanna,,Cataldo Antonio Mannarino,Q3663234,"Tragedia Sacra,",,Venice,Q641,,,Bernardo Giunti,Q21548264,1610,12,False,,,False
4698,"SUSANNA VERGINE E MARTIRE, (Santa). Tragedia Sacra. — in Palermo, per Giovanni Adamo. 1696 in 8 — del Dottor Francesco Gemma, di Biancavilla.","Susanna Vergine E Martire, (Santa)",,Francesco Gemma,,Tragedia Sacra,,Palermo,Q2656,,,Giovanni Adamo,,1696,8,False,,,False
4699,"SUSANNA VERGINE E MARTIRE, (Santa). Opera Sacra (in prosa). — in Bologna, per Gioseffo Longhi. 1689 in 12. — di Giuseppe Berneri, Romano.","Susanna Vergine E Martire, (Santa)",,Giuseppe Berneri,Q3770101,Opera Sacra,prose,Bologna,Q1891,,,Giuseppe Longhi,Q98645100,1689,12,False,,,False
4700,"TABERNARIA. Commedia (in prosa in cinque Atti) — in Ronciglione, per Domenico Domenici. 1612e 1616 in 12. — ed in Napoli, nella Stamperia, e alle spese di Gennaro Muzio—. 1726 in 12. — di Giambatista dalla Porta, Napoletano.",Tabernaria,,Giambattista della Porta,Q334154,Commedia,prose,Ronciglione,Q30029567,,,Domenico Domenici,,1616,12,False,,,False
4701,"TACERE ED AMARE. Dramma Civile Musicale rappresentato nell'Accademia de Signori Infuocati. — in Firenze, per Vincenzo Vangelisti, 1698 in 12. nel Tom. III. a c. 405. delle Poesie Drammatiche dell'Autore. — del Dottor Gio. Andrea Moneglia, Fiorentino.",Tacere Ed Amare,,Giovanni Andrea Moniglia,Q42534467,Dramma Civile,,Florence,Q2044,,,Vincenzo Vangelisti,,1698,12,False,,,False
4702,"TACERE PER FINO l'OCCASIONE. Opera Regia (in prosa). — in Bologna, a spese di Carlo Troyse, 1694 in 12. — di Domenico Veraldo, di Nicastro.",Tacere Per Fino L'Occasione,,Domenico Veraldo,,Opera Regia,prose,Bologna,Q1891,,,Carlo Troyse,,1694,12,False,,,False
4703,"TACITURNITÀ LOQUACE, seconda parte del Caval. Trascurato. Commedia (in prosa). — in Napoli, per Francesco Savio. 1653 in 12. — di Giambatista Pasca, Napoletano.","Taciturnità Loquace, Seconda Parte Del Caval",,Giambatista Pasca,,Trascurato,prose,Naples,Q2634,,,Francesco Savio,Q118733428,1653,12,False,,,False
4704,"TACITURNO AMORE. Favola Pastorale. — in Ferrara, per Francesco Suzzi. 1625 in 8 — del Capitan Marco Petrocini, Accademico Ingegnoso di Ferrara detto lo Stanco.",Taciturno Amore,,Marco Petroccini,,Favola Pastorale,,Ferrara,Q13362,,,Francesco Suzzi,,1625,8,False,,,False
4705,"TAICAN RE DELLA CINA. Tragedia rappresentata nel Teatro di S. Cassiano di Venezia l'anno 1707 — in Venezia, per Marino Rossetti. 1707 in 12. — Poesia di Urbano Rizzi, Trevisano. — Musica di Francesco Gasparini, Romano.",Taican Re Della Cina,,Urbano Rizzi,,Tragedia,,Venice,Q641,Teatro San Cassiano,Q246429,Marino Rossetti,Q122599209,1707,12,True,Francesco Gasparini,Q446955,False
4706,"TAIDE ALESSANDRINA. Opera Scenica (in prosa). — in Ronciglione, per il Menichelli. 1676 in112 — d'Incerto Autore.",Taide Alessandrina,,unknown,Q24238356,Opera Scenica,prose,Ronciglione,Q30029567,,,Menichelli,,1676,,False,,,False
4707,"TAIDE CONVERTITA. Rappresentazione Spirituale (in versi scrolti). — in Venezia, per Grazioso Percaccino. 1598 1599 in 4 e 1605 in 12. — ed ivi, per Gherardo Imberti, 1621 in 12. — di Ambrogio Leoni, Veneziano, Crocifero.",Taide Convertita,,Ambrogio Leoni,,Rappresentazione Spirituale,verse,Venice,Q641,,,Grazioso Percacino,Q112433743,1599,4,False,,,False
4708,"TALANTA. Commedia (in prosa) composta a petizione de Magnifici Signori Sempiterni, e recitata dalle lor proprie Magnificenze con mirabil superbia d'Apparato. — in Vinegia, per Gabriel Giolito de Ferrari. 1553 in 12. — e senza luogo, e Stampatore, 1588 in 8 con tre altre. — ed ivi, per Andrea di Melagrano. 1589 in 8 — di Pietro Aretino. — L'Autore della Biblioteca Italiana, &c. a c. 127. crede, che di stampa del Marcolino siano uncora le altre tre Commedie di questo Autore, cioè, l'Atalanta, l'Ippocrito, ed il Filosofo. V'è pure una stampa del 1588, cioè, il Marescalco, la Cortigiana, e l'Ippocrito in un Volume. Prendono errore quelli, che chiamano questa Commedia Atalanta in vece di Talanta.",Talanta,,Pietro Aretino,Q296272,Commedia,prose,N/A,Q929804,,,unknown,,1553,12,False,,,False
4709,"TALESTRI. Opera Scenica (in prosa). — in Bologna, per Antonio Pisarri senza Stampatore. 1675 in 12. — Poesia di Francesco Scarselli, Bolognese.",Talestri,,Francesco Scarselli,,Opera Scenica,prose,Bologna,Q1891,,,unknown,,1675,12,False,,,False
4710,"TAMAR. Azione Tragica rappresentata nella Città di Vicenza dalla Compagnia Nuova l'anno 1586 — in Vicenza, per Agostino della Noce. 1586 in 12. — di Giambatista Velo, di Vicenza.",Tamar,,Giambattista Velo,,Azione Tragica,,Vicenza,Q6537,,,Agostino dalla Noce,,1586,12,False,,,False
4711,"TAMERLANO. Tragedia (in prosa) di Mons. Pradon trasportata dall'Idioma Francese, e recitata da' Signori Cavalieri del Clementino nelle vacanze del Carnevale nell'anno 1709 in Roma, nella Stamperia di Gio. Francesco Chracas. 1709 in 12. — d'Incerto Traduttore.",Tamerlano,,unknown,Q24238356,Tragedia,prose,Rome,Q220,,,Giovanni Francesco Chracas,Q56024573,1709,12,False,,,False
4712,"TAMERLANO. Tragedia recitata l'anno 1710 in Venezia nel Teatro di San Cassiano, in Venezia, per Marino Rossetti. 1710 in 12. — Poesia del Co. Agostino Piovene, Patrizio Veneto. — Musica di Francesco Gasparini Romano, Replicato l'anno 1716 nel Teatro Mantica di Udme. — in Udine, per Gio. Domenico Murero, 1716 in 12. — E poi nel Teatro di Massa anno stesso. — in Massa, per Pellegrino rrediani. 1716 in 8 — L'anno 1719 nel Teatro della Illustriss. Communità di Reggio in occasione della Fiera, ma col nome di Bajazet. — in Reggio, per Ippolito Vedrotti. 1719 in 8. — Musica nuova di Francesco Gasparini, Romano. — Nel Teatro Delfino di Trevigi l'anno 1721 col nome di Tamerlano. — in Trevigi, senza Stampatore. 1721 in 12. — Nel Real Palazzo di Napoli, col titolo di Bajazette, l'anno 1722 festeggiandosi il feliciss. giorno Natalizio della S. Ces. Catt. Real Maestà di Elisabetta Cristina, Imperadrice Regnante. — in Napoli, per Francesco Ricciardo, 1722 in 8 Musica per la maggior parte di Lionardo Leo, Napoletano. — Prima del Dramma si legge un Componimento per Musica recitato per celebrare il detto felicissimo giorno. — Poesia di Silvio Stampiglia. — Musica del suddetto Leo. — in Lubiana nel Palazzo del Vice—Dominato l'anno 1732 — in Venezia, per Girolamo Savioni, 1732 in 8 — Musica dell'Ab. Don Giuseppe Clemente de' Bonomi. — E finalmente replicato l'anno 1735 col primo nome di Tamerlano nel Teatro dell'Accademia Filarmonica di Verona. — in Verona, per Jacopo Vallarsi. 1735 in 12. — Musica di Don Antonio Vivaldi, Veneziano. — In tutte le accennate recite, il Dramma ha perduto molto del suo originale per le mutazioni accadutegli.",Tamerlano,,Agostino Piovene,Q20750793,Tragedia,,Venice,Q641,Teatro San Cassiano,Q246429,unknown,,1710,12,True,Francesco Gasparini,Q446955,False
4713,"TAMIRI. Tragedia recitata nel Teatro di Sant'Angiolo di Venezia l'anno 1734 — in Venezia, per Marino Rossetti. 1734 in 12. — Poesia di Bartolommeo Vitturi, Veneziano. — Musica di Baldassarre Galuppi, Veneziano.",Tamiri,,Bartolomeo Vitturi,Q809511,Tragedia,,Venice,Q641,Teatro San Angelo,Q1110282,Marino Rossetti,Q122599209,1734,12,True,Baldassare Galuppi,Q208338,False
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
4714,"TAMINGI. Tragedia Cinese (in versi Martelliani, in cinque Atti) in Roma, per Francesco Gonzaga. 1715 in 8 — di Pier Jacopo Mar tello, Bolognese.",Tamingi,,Pier Jacopo Martello,Q3902896,Tragedia Cinese,verse,Rome,Q220,,,Francesco Gonzaga,Q64358843,1715,8,False,,,False
4715,"TANCIA. Commedia Rusticale (in ottava rima). — in Firenze, per Cosimo Giunti. 1612 in 4 1615 in 8 1623 in 4 e 1638 in 8 — senza nome di Autore. — ivi, per Giambatista Landini. 1638 in 8. In questa Edizione si vede il nome dell'Autore, che ancora viveva, ma le mancano alcune cose, che si leggevano nelle precedenti. — ed ivi, per li Tartini, e Franchi. 1726 in foglio, insieme colla Fiera altra Commedia dello stesso Autore, e colle Annotazioni dall'Alb. Anton Maria Salvini, Fiorentino. — di Michelagnolo Buonarroti, Fiorentino, il Giovane, detto anche il Novello. — Questa Commedia fu voltata in lingua Bolognese (in prosa) dal Timido Accademico Dubbioso, che la intitolò la Togna. — in Bologna, per Giacomo Monti, 1654 in 8 — Nel medesimo luogo, ed anno e dalle stampe delle stesse Monti, si vede la medesima Traduzione col titolo di Bernarda, nella quale si dice, ch'è opera di Giulio Cesare Allegri, che non mutò se non li nomi de Personaggi. Crescimb. Coment. Vol.III. lib.III. p.155 della Ediz. di Venezia. Per sapere in quanta estimazione debba tenersi questo grazioso componimento basta il giudizio proferito dal Dott. Vincenzo Gravina Critica di buon naso, il quale nel suo Libro della Rag. Poet. Lib.II. §.XXII. dice: ""Ma niuno meglio che il Cortese nella Napolitana Rosa, e il Buonarrori nella Tancia, ha sa puto rappresentare i caratteri Contadineschi, e rendere al vivo i costumi, e le passioni di simil gente nell'orditura di un Dramma"". Le due Edizioni della Tancia riferite dal P. Giulio Negri nella sua Istoria degli Scrittori Fiorentini (c. 412) una colle Annotazioni di Francesco Sansovino, stampata in Venezia, per Altobello Salicato, 1585 in 12, e l'altra con quella di Tommaso Porcacchi. ivi per Comin Gallina. 1605 in 12. Sono riputate apocrife dagli Stampatori Fiorentini nella Lettera à Lettori premessa alla Edizione mentovata del 1726 a quali sono disposto di credere finattantochè non mi riesca di vederle cogli occi propri.",Tancia,,Michelangelo Buonarroti,Q1930983,Commedia Rusticale,prose,Florence,Q2044,,,Cosimo Giunta,Q51955060,1612,4,False,,,True
